RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
165,Luke Kennard,Mem,G,26.8,24.0,24.6,13.8,8.5,19.0,0.947,34.0,0.471,137.0,0.54,0.743,0.758,11.3,3.1,2.3,0.5,0.0,0.7,14.5,13.6,16.7,7.0,145.5,110.6,0.622
166,Quentin Grimes,Nyk,G,22.9,71.0,29.9,14.5,10.4,98.0,0.796,195.0,0.641,407.0,0.386,0.599,0.619,11.3,3.2,2.1,0.7,0.4,1.0,14.5,13.4,16.6,5.7,124.4,110.6,0.573
167,Marcus Morris Sr.,Lac,F,33.6,65.0,28.1,17.6,8.0,87.0,0.782,336.0,0.482,307.0,0.365,0.513,0.534,11.2,4.0,1.8,0.6,0.3,0.9,15.2,13.0,16.9,6.1,108.3,110.5,0.537
168,Kyle Lowry,Mia,G,37.0,55.0,31.2,16.7,17.5,135.0,0.859,175.0,0.509,310.0,0.345,0.514,0.565,11.2,4.1,5.1,1.0,0.4,1.9,15.3,16.3,20.4,7.9,114.8,107.7,0.537
169,Corey Kispert,Was,F,24.1,74.0,28.3,14.1,8.7,88.0,0.852,201.0,0.637,385.0,0.423,0.636,0.656,11.1,2.8,1.2,0.4,0.1,0.8,13.9,12.3,15.1,4.7,124.2,116.6,0.427
170,Malik Beasley,Lal,G,26.4,26.0,23.9,20.9,10.1,21.0,0.619,81.0,0.481,187.0,0.353,0.515,0.521,11.1,3.3,1.2,0.8,0.0,1.2,14.5,12.3,15.7,5.9,98.8,111.2,0.524
171,Jeremy Sochan,San,F,19.9,56.0,26.0,19.8,14.9,116.0,0.698,418.0,0.519,134.0,0.246,0.483,0.509,11.0,5.3,2.5,0.8,0.4,1.7,16.2,13.5,18.8,8.1,102.7,113.6,0.268
172,Cam Reddish,Por,F-G,23.6,20.0,27.6,17.8,15.4,42.0,0.833,88.0,0.568,88.0,0.318,0.523,0.563,11.0,2.9,1.9,1.2,0.3,1.6,13.8,12.8,15.7,5.7,105.6,114.9,0.402
173,Eric Gordon,Lac,G,34.3,22.0,24.9,17.0,10.7,38.0,0.842,64.0,0.531,111.0,0.423,0.597,0.629,11.0,1.7,2.1,0.6,0.4,1.0,12.6,13.1,14.8,5.5,121.9,113.8,0.537
174,Julian Champagnie,San,F,21.8,15.0,20.8,19.4,7.9,17.0,0.824,47.0,0.553,81.0,0.407,0.59,0.609,11.0,4.0,0.7,0.3,0.3,0.7,15.0,11.7,15.7,6.0,116.3,115.0,0.268
175,Reggie Jackson,Lac,G,33.0,52.0,25.7,20.8,15.8,66.0,0.924,292.0,0.469,220.0,0.35,0.493,0.523,10.9,2.2,3.5,0.7,0.1,1.8,13.1,14.4,16.6,6.8,103.2,112.4,0.537
176,Ivica Zubac,Lac,C,26.1,76.0,28.5,14.8,18.5,238.0,0.697,512.0,0.637,2.0,0.0,0.634,0.661,10.8,9.9,1.0,0.4,1.3,1.5,20.7,11.8,21.7,6.7,126.7,105.0,0.537
177,Jaylen Nowell,Min,G,23.8,65.0,19.3,25.0,9.4,99.0,0.778,393.0,0.542,231.0,0.29,0.502,0.527,10.8,2.6,2.0,0.6,0.1,1.0,13.4,12.9,15.5,7.9,106.1,110.4,0.512
178,Sandro Mamukelashvili,San,F-C,23.9,19.0,23.3,20.1,13.1,39.0,0.692,105.0,0.524,67.0,0.343,0.52,0.545,10.8,6.8,2.4,0.5,0.4,1.4,17.6,13.3,20.1,9.6,114.3,115.2,0.268
179,Bones Hyland,Lac,G,22.6,14.0,19.0,26.4,9.8,20.0,0.75,63.0,0.46,74.0,0.351,0.496,0.518,10.8,3.5,3.4,0.8,0.1,1.1,14.3,14.1,17.6,10.6,111.2,104.6,0.537
180,Kentavious Caldwell-Pope,Den,G,30.1,76.0,31.3,14.1,12.0,125.0,0.824,313.0,0.502,319.0,0.423,0.569,0.598,10.8,2.8,2.4,1.5,0.5,1.1,13.6,13.2,16.0,5.3,116.7,112.0,0.646
181,Victor Oladipo,Mia,G,30.9,42.0,26.3,21.1,17.7,79.0,0.747,191.0,0.471,212.0,0.33,0.484,0.513,10.7,3.0,3.5,1.4,0.3,2.1,13.7,14.2,17.2,7.3,98.9,105.9,0.537
182,Talen Horton-Tucker,Uta,G,22.4,65.0,20.2,25.9,17.0,168.0,0.75,410.0,0.485,203.0,0.286,0.467,0.508,10.7,3.2,3.8,0.6,0.4,1.9,14.0,14.5,17.8,10.0,104.0,111.4,0.451
183,Mike Conley,Uta,G,35.5,43.0,29.7,16.1,16.5,96.0,0.813,162.0,0.469,213.0,0.362,0.511,0.552,10.7,2.5,7.7,1.0,0.2,1.7,13.2,18.4,20.9,8.0,122.8,113.8,0.451
184,Jeenathan Williams,Por,G,24.2,5.0,25.3,15.2,9.2,3.0,0.667,31.0,0.677,8.0,0.375,0.654,0.657,10.6,3.0,2.0,0.6,0.4,0.8,13.6,12.6,15.6,6.3,133.2,114.0,0.402
