RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
132,Maxi Kleber,Dal,C,32.4,13.0,16.8,9.7,11.3,6.0,0.667,11.0,0.364,28.0,0.429,0.564,0.576,3.7,1.9,1.0,0.2,0.3,0.4,5.6,4.7,6.6,4.6,116.6,110.4,0.61
133,Josh Okogie,Pho,F,25.8,4.0,7.3,21.8,17.8,6.0,0.5,6.0,0.667,3.0,0.333,0.611,0.601,3.5,1.0,0.5,0.5,0.0,0.5,4.5,4.0,5.0,6.6,106.1,90.6,0.598
134,Grayson Allen,Pho,G,28.7,2.0,21.4,10.7,35.5,4.0,1.0,0.0,0.0,5.0,0.2,0.3,0.518,3.5,4.0,1.0,0.5,0.0,1.5,7.5,4.5,8.5,4.5,94.8,109.1,0.598
135,Reggie Jackson,Den,G,34.2,12.0,9.8,22.3,14.2,2.0,1.0,25.0,0.32,23.0,0.348,0.417,0.43,3.5,1.3,1.0,0.2,0.1,0.7,4.8,4.5,5.8,6.8,87.0,107.6,0.695
136,Sam Merrill,Cle,G,28.1,10.0,12.5,11.3,0.0,3.0,1.0,2.0,0.0,27.0,0.37,0.517,0.544,3.3,1.2,0.9,0.0,0.0,0.0,4.5,4.2,5.4,4.9,125.7,112.3,0.585
137,Mason Plumlee,Lac,F-C,34.3,6.0,11.0,16.2,9.9,8.0,0.625,18.0,0.389,0.0,0.0,0.389,0.441,3.2,3.3,0.7,0.5,0.3,0.3,6.5,3.8,7.2,7.1,106.8,94.6,0.622
138,Spencer Dinwiddie,Lal,G,31.2,5.0,14.6,11.2,6.6,6.0,0.5,6.0,0.5,8.0,0.25,0.429,0.451,3.0,1.4,1.6,0.4,0.2,0.2,4.4,4.6,6.0,5.2,108.1,109.6,0.573
139,Anthony Black,Orl,G,20.4,2.0,5.4,32.5,12.5,0.0,0.0,5.0,0.6,2.0,0.0,0.429,0.429,3.0,1.0,1.0,0.5,0.0,0.5,4.0,4.0,5.0,10.7,93.7,101.3,0.573
140,Chuma Okeke,Orl,F,25.8,2.0,4.9,15.4,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.872,3.0,0.0,0.5,0.0,0.0,0.0,3.0,3.5,3.5,0.0,181.1,119.9,0.573
141,Daniel Theis,Lac,F-C,32.2,1.0,4.4,10.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,300.0,118.6,0.622
142,Luke Kornet,Bos,C-F,28.9,13.0,10.2,11.4,21.9,13.0,0.846,21.0,0.667,0.0,0.0,0.667,0.73,3.0,3.2,0.5,0.1,0.4,0.5,6.2,3.5,6.7,6.6,143.1,106.1,0.78
143,Markieff Morris,Dal,F,34.8,1.0,12.0,22.7,16.7,0.0,0.0,2.0,0.0,3.0,0.333,0.3,0.3,3.0,4.0,0.0,0.0,0.0,1.0,7.0,3.0,7.0,0.0,51.6,105.2,0.61
144,Justin Holiday,Den,F-G,35.2,12.0,12.5,12.2,7.8,4.0,0.5,6.0,0.0,29.0,0.379,0.471,0.476,2.9,1.7,0.3,0.5,0.0,0.3,4.6,3.3,4.9,3.6,95.5,105.1,0.695
145,AJ Green,Mil,G,24.7,6.0,11.2,12.5,5.7,3.0,1.0,5.0,0.8,11.0,0.182,0.438,0.491,2.8,1.5,0.3,0.0,0.0,0.2,4.3,3.2,4.7,3.9,101.1,106.7,0.598
146,Amir Coffey,Lac,G-F,27.0,6.0,18.7,11.0,18.5,0.0,0.0,11.0,0.364,11.0,0.273,0.386,0.386,2.8,1.7,0.3,0.3,0.2,0.8,4.5,3.2,4.8,2.4,72.5,116.3,0.622
147,Mitchell Robinson,Nyk,C,26.2,6.0,19.1,7.9,17.5,8.0,0.375,14.0,0.5,0.0,0.0,0.5,0.485,2.8,6.8,0.5,1.0,1.2,0.5,9.7,3.3,10.2,4.4,123.2,100.7,0.61
148,Georges Niang,Cle,F,31.0,10.0,12.1,19.8,14.5,8.0,0.875,18.0,0.333,23.0,0.13,0.256,0.314,2.8,1.2,0.4,0.4,0.2,0.7,4.0,3.2,4.4,3.6,66.2,101.6,0.585
149,Duncan Robinson,Mia,F,30.2,5.0,11.9,17.2,23.8,0.0,0.0,3.0,0.667,13.0,0.231,0.406,0.406,2.6,1.0,1.2,0.4,0.0,1.0,3.6,3.8,4.8,4.9,74.6,105.5,0.561
150,Jett Howard,Orl,G,20.8,2.0,4.9,22.4,40.0,0.0,0.0,2.0,0.5,1.0,1.0,0.833,0.833,2.5,0.5,0.5,0.0,0.0,1.0,3.0,3.0,3.5,7.0,91.9,106.0,0.573
151,Andre Jackson Jr.,Mil,G,22.6,5.0,11.9,10.8,21.4,0.0,0.0,5.0,0.6,6.0,0.333,0.545,0.545,2.4,2.2,2.0,1.0,0.2,0.6,4.6,4.4,6.6,7.4,123.9,98.8,0.598
152,Monte Morris,Min,G,29.0,9.0,7.4,21.1,0.0,2.0,1.0,16.0,0.5,14.0,0.071,0.317,0.34,2.3,0.7,1.0,0.2,0.1,0.0,3.0,3.3,4.0,6.3,90.1,105.5,0.683
153,Julian Strawther,Den,G,22.2,3.0,5.3,25.5,13.9,4.0,0.5,2.0,0.5,4.0,0.25,0.417,0.451,2.3,0.7,0.0,0.3,0.0,0.3,3.0,2.3,3.0,0.0,82.1,94.2,0.695
154,Jae Crowder,Mil,F,34.0,4.0,10.5,14.1,0.0,2.0,1.0,5.0,0.4,7.0,0.143,0.292,0.349,2.3,1.5,0.5,0.0,0.5,0.0,3.8,2.8,4.3,4.6,93.4,111.7,0.598
155,Jeremiah Robinson-Earl,Nor,F,23.6,1.0,5.3,23.8,0.0,2.0,0.0,2.0,0.5,0.0,0.0,0.5,0.347,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,9.5,99.9,122.7,0.598
156,DaQuan Jeffries,Nyk,G-F,26.8,4.0,5.0,17.5,0.0,0.0,0.0,3.0,0.333,5.0,0.4,0.5,0.5,2.0,1.0,0.0,0.3,0.0,0.0,3.0,2.0,3.0,0.0,111.6,104.8,0.61
157,Dante Exum,Dal,G,28.9,21.0,6.8,16.3,10.1,6.0,0.667,24.0,0.375,20.0,0.35,0.443,0.461,2.0,0.8,0.6,0.1,0.0,0.2,2.9,2.6,3.4,5.8,98.5,113.2,0.61
158,DeAndre Jordan,Den,C,35.9,2.0,6.6,10.1,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.5,0.694,2.0,1.5,0.0,0.5,0.5,0.0,3.5,2.0,3.5,0.0,158.9,79.2,0.695
159,Jalen Smith,Ind,F-C,24.3,7.0,6.0,16.6,32.6,8.0,0.625,4.0,0.25,4.0,0.5,0.5,0.564,1.9,2.0,0.3,0.3,0.1,0.6,3.9,2.1,4.1,7.0,109.0,100.4,0.573
160,Peyton Watson,Den,G,21.8,10.0,9.0,15.1,11.0,6.0,0.5,12.0,0.25,12.0,0.25,0.313,0.338,1.8,1.5,0.4,0.0,0.6,0.3,3.3,2.2,3.7,4.6,75.9,107.7,0.695
161,Jose Alvarado,Nor,G,26.2,4.0,15.4,17.1,16.7,0.0,0.0,6.0,0.333,14.0,0.071,0.175,0.175,1.8,1.0,2.3,1.3,0.3,1.0,2.8,4.0,5.0,4.2,53.7,110.2,0.598
162,Nassir Little,Pho,F-G,24.3,4.0,3.4,17.2,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.7,0.7,1.8,0.3,0.0,0.0,0.0,0.0,2.0,1.8,2.0,0.0,0.0,0.0,0.598
163,Kevin Love,Mia,F,35.8,5.0,6.4,16.8,18.2,0.0,0.0,5.0,0.6,4.0,0.25,0.5,0.5,1.8,2.8,0.8,0.0,0.0,0.4,4.6,2.6,5.4,9.9,99.1,103.1,0.561
164,Brandon Boston Jr.,Lac,G,22.6,3.0,3.2,22.9,0.0,2.0,0.5,4.0,0.5,0.0,0.0,0.5,0.512,1.7,0.7,0.3,0.0,0.0,0.0,2.3,2.0,2.7,8.9,0.0,0.0,0.622
165,Zeke Nnaji,Den,F-C,23.4,3.0,4.7,19.3,38.3,2.0,0.5,3.0,0.667,0.0,0.0,0.667,0.644,1.7,0.7,0.0,0.0,0.3,0.7,2.3,1.7,2.3,0.0,92.6,115.4,0.695
166,Oshae Brissett,Bos,F-G,26.0,10.0,5.5,11.6,8.2,4.0,0.5,9.0,0.444,2.0,1.0,0.636,0.627,1.6,1.4,0.0,0.3,0.2,0.1,3.0,1.6,3.0,0.0,123.2,107.4,0.78
167,Joe Ingles,Orl,F-G,36.7,7.0,9.6,8.4,0.0,2.0,0.5,5.0,0.4,7.0,0.286,0.417,0.427,1.6,1.9,1.7,0.4,0.0,0.0,3.4,3.3,5.1,7.2,129.3,107.9,0.573
168,Xavier Tillman,Bos,F,25.4,8.0,8.6,7.7,26.2,1.0,1.0,7.0,0.571,1.0,1.0,0.688,0.711,1.5,1.8,0.4,0.4,0.4,0.4,3.3,1.9,3.6,4.8,122.0,102.4,0.78
169,Paul Reed,Phi,F,25.0,6.0,7.2,13.8,24.5,2.0,0.5,9.0,0.444,0.0,0.0,0.444,0.455,1.5,2.7,0.3,0.2,0.5,0.5,4.2,1.8,4.5,5.9,105.8,99.7,0.573
170,Tristan Thompson,Cle,C-F,33.3,10.0,8.7,10.1,11.0,2.0,0.5,16.0,0.438,0.0,0.0,0.438,0.444,1.5,2.0,1.0,0.1,0.5,0.2,3.5,2.5,4.5,6.6,121.1,106.8,0.585
171,Jericho Sims,Nyk,C,25.7,5.0,5.5,6.0,0.0,4.0,0.75,2.0,1.0,0.0,0.0,1.0,0.931,1.4,1.6,0.2,0.4,0.2,0.0,3.0,1.6,3.2,5.6,194.7,109.4,0.61
172,Gabe Vincent,Lal,G,28.0,5.0,13.8,10.0,20.0,0.0,0.0,5.0,0.4,7.0,0.143,0.292,0.292,1.4,1.6,0.6,0.4,0.0,0.6,3.0,2.0,3.6,3.2,62.4,107.0,0.573
173,Shake Milton,Nyk,G-F,27.7,4.0,5.5,17.2,0.0,6.0,0.833,4.0,0.0,2.0,0.0,0.0,0.289,1.3,0.3,0.5,0.3,0.0,0.0,1.5,1.8,2.0,4.2,84.6,119.5,0.61
174,Doug McDermott,Ind,F,32.5,10.0,6.4,8.5,8.3,0.0,0.0,3.0,0.667,8.0,0.375,0.591,0.591,1.3,0.3,0.7,0.0,0.2,0.1,1.6,2.0,2.3,4.1,132.5,119.9,0.573
175,Dyson Daniels,Nor,G,21.3,3.0,5.7,18.0,14.3,0.0,0.0,4.0,0.5,2.0,0.0,0.333,0.333,1.3,0.7,0.0,0.7,0.0,0.3,2.0,1.3,2.0,0.0,58.6,111.9,0.598
176,Neemias Queta,Bos,C,24.9,3.0,4.5,10.4,0.0,0.0,0.0,3.0,0.667,0.0,0.0,0.667,0.667,1.3,1.0,0.0,0.0,0.3,0.0,2.3,1.3,2.3,0.0,143.5,116.1,0.78
177,Jalen Pickett,Den,G,24.7,3.0,3.6,12.8,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.667,0.667,1.3,0.3,0.3,0.0,0.3,0.0,1.7,1.7,2.0,5.4,0.0,0.0,0.695
178,Josh Minott,Min,F,21.6,5.0,3.6,22.6,0.0,0.0,0.0,4.0,0.0,5.0,0.4,0.333,0.333,1.2,1.0,0.6,0.0,0.0,0.0,2.2,1.8,2.8,10.0,0.0,0.0,0.683
179,Wendell Moore Jr.,Min,G,22.7,6.0,3.1,19.7,12.5,0.0,0.0,3.0,0.667,4.0,0.25,0.5,0.5,1.2,0.3,0.3,0.2,0.0,0.2,1.5,1.5,1.8,6.1,0.0,0.0,0.683
180,A.J. Lawson,Dal,G,23.9,10.0,3.0,15.0,0.0,2.0,0.5,3.0,0.667,6.0,0.333,0.556,0.557,1.1,0.3,0.0,0.0,0.1,0.0,1.4,1.1,1.4,0.0,0.0,0.0,0.61
181,Jaden Springer,Bos,G,21.7,4.0,5.5,10.6,40.0,0.0,0.0,3.0,0.667,0.0,0.0,0.667,0.667,1.0,0.8,0.3,0.0,0.3,0.5,1.8,1.3,2.0,4.5,79.6,111.5,0.78
182,Chris Livingston,Mil,F,20.7,2.0,3.1,17.2,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.431,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.598
183,Caleb Houstan,Orl,G,21.4,3.0,4.7,6.3,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.75,0.75,1.0,0.7,0.0,0.0,0.0,0.0,1.7,1.0,1.7,0.0,158.0,118.0,0.573
184,Svi Mykhailiuk,Bos,G-F,27.0,8.0,4.0,20.5,14.3,0.0,0.0,3.0,0.333,9.0,0.222,0.333,0.333,1.0,0.6,0.1,0.1,0.0,0.3,1.6,1.1,1.8,3.9,68.3,104.5,0.78
185,James Johnson,Ind,F,37.3,1.0,1.0,85.0,82.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.568,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.573
186,Jarace Walker,Ind,F,20.8,9.0,3.4,25.4,36.8,3.0,0.667,7.0,0.429,3.0,0.0,0.3,0.353,0.9,0.4,0.4,0.2,0.1,0.7,1.3,1.3,1.8,6.2,0.0,0.0,0.573
187,MarJon Beauchamp,Mil,F,23.7,4.0,2.5,27.6,19.2,2.0,0.5,2.0,0.5,2.0,0.0,0.25,0.307,0.8,0.3,0.5,0.0,0.0,0.3,1.0,1.3,1.5,7.9,0.0,0.0,0.598
188,Jordan Walsh,Bos,G,20.3,3.0,3.8,12.3,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.333,0.333,0.7,0.7,0.0,0.0,0.0,0.0,1.3,0.7,1.3,0.0,0.0,0.0,0.78
189,Bol Bol,Pho,C-F,24.6,3.0,4.3,10.8,0.0,0.0,0.0,3.0,0.333,0.0,0.0,0.333,0.333,0.7,1.3,0.0,0.3,0.0,0.0,2.0,0.7,2.0,0.0,72.1,94.2,0.598
190,Jordan McLaughlin,Min,G,28.2,6.0,5.0,18.1,18.2,2.0,0.0,4.0,0.5,5.0,0.0,0.222,0.202,0.7,0.7,0.3,0.0,0.0,0.3,1.3,1.0,1.7,4.2,45.4,112.0,0.683
191,Kendall Brown,Ind,G,21.1,7.0,3.5,16.5,33.3,0.0,0.0,6.0,0.333,0.0,0.0,0.333,0.333,0.6,0.4,0.3,0.0,0.1,0.4,1.0,0.9,1.3,4.8,0.0,0.0,0.573
192,Kenrich Williams,Okc,G-F,29.5,7.0,4.5,11.6,0.0,0.0,0.0,3.0,0.667,5.0,0.0,0.25,0.25,0.6,1.1,0.4,0.1,0.0,0.0,1.7,1.0,2.1,5.7,81.5,103.0,0.695
193,Mamadi Diakite,Nyk,F,27.4,4.0,3.7,14.4,22.5,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.258,0.5,0.8,0.3,0.3,0.3,0.3,1.3,0.8,1.5,5.3,0.0,0.0,0.61
194,Ousmane Dieng,Okc,F,21.1,4.0,1.8,12.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.695
195,Dwight Powell,Dal,F-C,32.9,13.0,3.4,8.8,47.7,6.0,0.667,3.0,0.333,0.0,0.0,0.333,0.532,0.5,0.9,0.2,0.1,0.0,0.2,1.4,0.7,1.6,5.3,0.0,0.0,0.61
196,Hunter Tyson,Den,F,24.0,3.0,4.6,19.7,19.2,2.0,0.5,1.0,0.0,3.0,0.0,0.0,0.102,0.3,1.0,0.3,0.0,0.0,0.3,1.3,0.7,1.7,3.9,42.8,119.3,0.695
197,Jaxson Hayes,Lal,C-F,24.1,4.0,6.0,9.4,47.4,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.174,0.3,3.0,0.3,0.0,0.0,0.5,3.3,0.5,3.5,4.3,70.8,82.6,0.573
198,Isaiah Thomas,Pho,G,35.4,1.0,3.6,39.1,33.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598
199,T.J. Warren,Min,F,30.8,3.0,3.8,8.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,1.0,0.3,1.3,0.0,0.0,0.0,0.683
200,Thaddeus Young,Pho,F,36.0,1.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598
1,Shai Gilgeous-Alexander,Okc,G,26.7,75.0,34.1,34.9,10.0,658.0,0.9,1204.0,0.571,426.0,0.371,0.567,0.636,32.6,5.0,6.4,1.7,1.0,2.4,37.5,38.9,43.9,11.9,128.6,106.1,0.823
2,Giannis Antetokounmpo,Mil,F,30.3,64.0,34.2,35.4,13.8,675.0,0.618,1208.0,0.621,57.0,0.211,0.607,0.625,30.5,11.9,6.3,0.9,1.2,3.2,42.4,36.8,48.7,15.4,121.8,105.0,0.57
3,Nikola Jokic,Den,C,30.1,67.0,36.7,29.9,14.4,432.0,0.803,1000.0,0.629,322.0,0.416,0.628,0.664,30.0,12.8,10.2,1.8,0.7,3.3,42.7,40.2,53.0,17.2,132.7,108.2,0.595
4,Luka Doncic,Dal,F-G,26.1,22.0,35.7,33.2,13.9,146.0,0.767,254.0,0.555,212.0,0.354,0.544,0.584,28.1,8.3,7.8,2.0,0.4,3.4,36.5,36.0,44.3,13.7,115.2,108.0,0.481
5,Anthony Edwards,Min,G,23.7,75.0,36.3,31.4,13.6,473.0,0.835,760.0,0.495,764.0,0.397,0.545,0.593,27.4,5.7,4.6,1.1,0.6,3.2,33.1,32.0,37.7,9.9,114.3,109.9,0.582
6,Luka Doncic,Lal,F-G,26.1,25.0,35.4,34.2,15.9,219.0,0.808,254.0,0.48,243.0,0.358,0.508,0.575,27.3,8.3,7.7,1.6,0.4,3.8,35.6,35.0,43.3,13.6,113.9,107.3,0.608
7,Jayson Tatum,Bos,F-G,27.1,70.0,36.3,31.4,12.7,431.0,0.814,719.0,0.559,707.0,0.344,0.538,0.583,26.9,8.7,6.0,1.1,0.5,3.0,35.6,32.9,41.6,12.3,117.0,106.1,0.747
8,Kevin Durant,Pho,F,36.5,62.0,36.5,28.7,14.5,361.0,0.839,752.0,0.574,372.0,0.43,0.598,0.642,26.6,6.0,4.2,0.8,1.2,3.1,32.6,30.8,36.8,9.6,117.0,117.9,0.443
9,Tyrese Maxey,Phi,G,24.4,52.0,37.7,29.9,10.2,289.0,0.879,613.0,0.515,478.0,0.337,0.511,0.562,26.3,3.3,6.1,1.8,0.4,2.4,29.7,32.4,35.8,8.6,114.2,116.9,0.291
10,Jalen Brunson,Nyk,G,28.6,62.0,35.4,29.5,12.0,434.0,0.825,778.0,0.54,369.0,0.382,0.551,0.606,26.1,3.0,7.4,1.0,0.1,2.5,29.1,33.5,36.5,9.4,123.3,113.5,0.633
11,Paolo Banchero,Orl,F,22.4,44.0,34.4,33.6,13.2,373.0,0.729,610.0,0.51,260.0,0.319,0.501,0.553,26.0,7.5,4.8,0.8,0.6,3.0,33.5,30.7,38.3,11.4,109.2,106.8,0.494
12,Cade Cunningham,Det,G,23.5,68.0,35.0,33.1,17.6,362.0,0.851,1004.0,0.507,408.0,0.353,0.513,0.559,25.9,6.1,9.1,1.0,0.7,4.4,32.0,34.9,41.1,12.9,110.7,108.4,0.544
13,Devin Booker,Pho,G,28.4,72.0,37.5,29.2,13.2,471.0,0.896,831.0,0.539,540.0,0.337,0.526,0.591,25.9,4.1,7.0,0.9,0.2,2.9,30.0,32.9,37.0,9.7,119.0,117.2,0.443
14,Anthony Davis,Lal,F-C,32.1,42.0,34.3,30.3,10.9,321.0,0.788,663.0,0.561,94.0,0.298,0.547,0.602,25.7,11.9,3.4,1.3,2.1,2.2,37.6,29.1,41.0,11.8,120.4,107.3,0.608
15,LaMelo Ball,Cha,G,23.6,47.0,32.0,35.9,14.3,229.0,0.843,475.0,0.478,528.0,0.339,0.494,0.536,25.2,4.9,7.4,1.1,0.3,3.6,30.1,32.6,37.5,12.1,108.7,109.0,0.241
16,De'Aaron Fox,Sac,G,27.3,45.0,37.0,29.0,13.1,246.0,0.829,597.0,0.539,286.0,0.322,0.521,0.567,25.0,5.0,6.1,1.5,0.4,3.0,30.0,31.1,36.1,9.9,113.1,112.6,0.494
17,Damian Lillard,Mil,G,34.7,58.0,36.1,27.8,14.0,393.0,0.921,468.0,0.528,524.0,0.376,0.547,0.621,24.9,4.7,7.1,1.2,0.2,2.8,29.6,32.0,36.7,10.4,122.0,112.2,0.57
18,Kyrie Irving,Dal,G,33.0,50.0,36.1,27.4,10.5,214.0,0.916,586.0,0.517,359.0,0.401,0.549,0.594,24.7,4.8,4.6,1.3,0.5,2.2,29.5,29.3,34.1,9.1,117.8,114.6,0.481
19,Zion Williamson,Nor,F,24.8,30.0,28.6,34.7,15.0,241.0,0.656,495.0,0.576,13.0,0.231,0.57,0.6,24.6,7.2,5.3,1.2,0.9,3.0,31.8,29.9,37.1,13.7,116.7,111.9,0.266
20,LeBron James,Lal,F,40.3,67.0,35.1,30.1,17.1,314.0,0.777,838.0,0.574,382.0,0.38,0.573,0.604,24.5,7.9,8.4,1.0,0.6,3.7,32.4,32.9,40.7,13.4,116.8,112.0,0.608
21,Stephen Curry,Gol,G,37.1,66.0,32.2,29.6,13.7,285.0,0.93,442.0,0.527,741.0,0.397,0.57,0.616,24.4,4.3,6.1,1.1,0.4,2.8,28.8,30.5,34.8,10.7,119.4,112.3,0.595
22,Victor Wembanyama,San,F-C,21.3,46.0,33.2,30.3,14.8,189.0,0.836,454.0,0.586,403.0,0.352,0.559,0.594,24.3,11.0,3.7,1.1,3.8,3.2,35.3,27.9,38.9,12.0,109.3,108.9,0.405
23,Karl-Anthony Towns,Nyk,C-F,29.4,70.0,34.9,27.3,13.6,397.0,0.829,841.0,0.564,334.0,0.422,0.583,0.63,24.3,12.8,3.1,1.0,0.7,2.6,37.1,27.4,40.2,11.3,121.6,102.6,0.633
24,Franz Wagner,Orl,F,23.6,58.0,33.8,31.1,10.7,304.0,0.868,783.0,0.536,341.0,0.293,0.507,0.558,24.2,5.7,4.8,1.2,0.3,2.3,29.9,29.0,34.6,10.3,112.7,105.8,0.494
25,Cam Thomas,Bro,G,23.5,25.0,31.2,32.6,12.0,151.0,0.881,259.0,0.506,195.0,0.349,0.513,0.575,24.0,3.3,3.8,0.6,0.1,2.5,27.3,27.8,31.1,8.6,111.7,116.0,0.329
26,Trae Young,Atl,G,26.6,73.0,36.1,29.5,20.7,535.0,0.877,707.0,0.471,612.0,0.337,0.487,0.564,24.0,3.2,11.6,1.2,0.2,4.7,27.2,35.6,38.8,10.7,113.2,116.6,0.468
27,Donovan Mitchell,Cle,G,28.6,71.0,31.4,31.0,10.1,362.0,0.823,687.0,0.512,633.0,0.368,0.531,0.575,24.0,4.5,5.0,1.3,0.2,2.1,28.5,28.9,33.5,10.4,117.8,109.7,0.797
28,Zach LaVine,Chi,G,30.1,42.0,34.1,26.6,14.6,182.0,0.797,405.0,0.56,305.0,0.446,0.607,0.637,24.0,4.8,4.5,0.9,0.2,2.9,28.8,28.5,33.3,9.4,115.0,116.3,0.456
29,Tyler Herro,Mia,G,25.2,75.0,35.6,27.9,12.6,319.0,0.875,681.0,0.564,660.0,0.374,0.563,0.603,23.8,5.2,5.5,0.9,0.2,2.6,29.1,29.4,34.6,9.9,116.3,113.8,0.456
30,Joel Embiid,Phi,C-F,31.1,19.0,30.2,34.3,16.4,169.0,0.882,238.0,0.492,77.0,0.299,0.481,0.58,23.8,8.2,4.5,0.7,0.9,3.3,31.9,28.3,36.4,12.7,113.8,112.4,0.291
31,Ja Morant,Mem,G,25.7,47.0,30.3,32.0,17.7,303.0,0.828,566.0,0.523,254.0,0.303,0.502,0.563,22.9,4.2,7.3,1.3,0.2,3.8,27.0,30.2,34.4,11.7,111.7,110.3,0.595
32,Quentin Grimes,Phi,G,24.9,26.0,33.8,27.6,14.8,123.0,0.748,226.0,0.571,201.0,0.393,0.58,0.61,22.6,4.9,4.5,1.5,0.4,2.8,27.5,27.0,31.9,9.4,114.6,115.1,0.291
33,Jaylen Brown,Bos,G-F,28.5,62.0,34.5,28.9,12.5,320.0,0.763,754.0,0.531,356.0,0.326,0.517,0.556,22.5,5.8,4.6,1.2,0.3,2.6,28.3,27.0,32.9,9.8,112.6,107.3,0.747
34,DeMar DeRozan,Sac,G-F,35.7,74.0,36.0,24.9,7.5,430.0,0.858,1008.0,0.519,246.0,0.337,0.516,0.576,22.5,3.9,4.4,0.8,0.4,1.4,26.4,26.9,30.8,8.1,121.1,116.0,0.494
35,James Harden,Lac,G,35.6,75.0,35.0,29.7,21.0,549.0,0.874,585.0,0.465,637.0,0.345,0.493,0.575,22.5,5.7,8.6,1.5,0.7,4.3,28.1,31.1,36.7,11.8,112.3,107.4,0.595
36,Jaren Jackson Jr.,Mem,F-C,25.6,71.0,29.7,28.5,11.3,388.0,0.776,800.0,0.543,369.0,0.377,0.55,0.592,22.3,5.8,2.0,1.2,1.6,2.1,28.1,24.4,30.1,8.6,114.8,104.6,0.595
37,Zach LaVine,Sac,G,30.1,29.0,36.5,23.5,14.8,95.0,0.874,254.0,0.575,205.0,0.444,0.615,0.647,22.3,3.8,3.6,0.7,0.1,2.8,26.1,25.9,29.7,7.4,116.2,116.9,0.494
38,Brandon Ingram,Nor,F,27.6,18.0,33.1,30.3,17.1,55.0,0.855,218.0,0.514,115.0,0.374,0.53,0.56,22.2,5.6,5.2,0.9,0.6,3.8,27.8,27.4,32.9,10.4,103.6,115.8,0.266
39,Norman Powell,Lac,G,31.9,57.0,32.2,26.4,10.2,253.0,0.81,490.0,0.541,412.0,0.42,0.581,0.619,22.0,3.2,2.1,1.2,0.2,1.8,25.2,24.1,27.3,6.6,117.0,109.4,0.595
40,Jalen Green,Hou,G,23.2,79.0,33.5,27.3,12.2,334.0,0.811,759.0,0.489,654.0,0.355,0.509,0.548,21.6,4.7,3.5,0.9,0.3,2.5,26.3,25.1,29.8,8.5,110.8,109.8,0.658
41,Jamal Murray,Den,G,28.1,65.0,36.3,23.9,10.8,238.0,0.887,704.0,0.52,389.0,0.396,0.546,0.587,21.6,3.8,6.0,1.4,0.5,2.0,25.5,27.7,31.5,8.7,119.6,115.3,0.595
42,Jalen Williams,Okc,G-F,24.0,67.0,32.3,27.4,11.6,290.0,0.786,794.0,0.529,330.0,0.367,0.535,0.572,21.4,5.3,5.2,1.6,0.7,2.2,26.7,26.5,31.9,10.4,115.3,104.5,0.823
43,RJ Barrett,Tor,F-G,24.8,57.0,32.5,28.7,14.5,311.0,0.63,672.0,0.524,299.0,0.348,0.523,0.547,21.3,6.4,5.5,0.8,0.3,2.9,27.7,26.8,33.2,11.2,107.3,111.0,0.367
44,Trey Murphy III,Nor,F,24.8,53.0,35.0,23.8,10.9,230.0,0.887,401.0,0.556,438.0,0.361,0.548,0.598,21.2,5.1,3.5,1.1,0.7,1.9,26.3,24.8,29.8,8.3,117.9,118.0,0.266
45,CJ McCollum,Nor,G,33.6,56.0,32.7,27.3,9.6,173.0,0.717,540.0,0.506,460.0,0.372,0.53,0.55,21.1,3.8,4.1,0.8,0.4,1.9,24.9,25.2,29.0,8.4,110.3,118.3,0.266
