47,Kawhi Leonard,Lac,*,F,33.8,34,30.9,27.9,10.4,108,0.806,387,0.537,173,0.405,0.559,0.587,21,5.8,3,1.5,0.5,1.9,26.7,24,29.7,9.3,113.5,107.8
48,Coby White,Chi,*,G,25.1,71,33.3,24.5,13.4,296,0.899,515,0.546,575,0.374,0.554,0.604,20.7,3.6,4.5,1,0.2,2.4,24.3,25.2,28.8,8.3,114.8,115.2
49,Anthony Davis,Dal,*,F-C,32.1,7,28.9,32.5,10.3,41,0.683,98,0.5,23,0.261,0.479,0.518,20.6,9.6,3.4,0.7,1.7,2,30.1,24,33.6,12.1,105.3,108.5
50,Jordan Poole,Was,*,G,25.8,67,29.6,28.9,16.2,272,0.882,427,0.511,615,0.377,0.543,0.591,20.5,3,4.5,1.3,0.4,3,23.5,24.9,28,8.8,109.2,114.2
51,Darius Garland,Cle,*,G,25.2,73,30.7,27.2,14,246,0.882,626,0.526,514,0.399,0.558,0.597,20.4,2.9,6.7,1.2,0.2,2.5,23.3,27.1,30,9.6,120.4,111.3
52,Miles Bridges,Cha,*,F,27,63,31.7,28,11,250,0.868,632,0.516,444,0.313,0.497,0.542,20.4,7.5,3.9,0.7,0.7,2.1,28,24.3,31.8,10.6,110.2,114
53,Pascal Siakam,Ind,*,F,31,76,32.6,24.4,8.5,304,0.737,832,0.57,321,0.386,0.572,0.6,20.3,6.9,3.4,0.9,0.5,1.4,27.2,23.7,30.6,9.6,120.4,110.6
54,Austin Reaves,Lal,*,G,26.9,70,34.9,23.8,14.2,350,0.883,487,0.546,513,0.374,0.554,0.614,20.2,4.5,5.8,1.1,0.3,2.4,24.7,26,30.5,9.3,121.6,112.6
55,Andrew Wiggins,Mia,*,F,30.1,15,33,26.9,14.9,71,0.761,138,0.529,90,0.367,0.537,0.577,19.9,4.1,3.2,1.1,1.1,2.7,24,23.1,27.2,7.7,107.5,111.5
56,De'Aaron Fox,San,*,G,27.3,17,34,26,12.8,72,0.819,185,0.535,95,0.274,0.493,0.537,19.7,4.3,6.8,1.5,0.3,2.4,24,26.5,30.8,9.8,110.9,112.7
57,Anfernee Simons,Por,*,G,25.8,70,32.7,24.6,11.3,194,0.902,532,0.496,593,0.363,0.521,0.557,19.3,2.7,4.8,0.9,0.1,2,22,24.1,26.8,7.7,114.7,116.7
58,Kristaps Porzingis,Bos,*,F-C,29.7,40,28.8,25.7,8.6,187,0.813,314,0.545,230,0.404,0.571,0.617,19.3,6.9,2.1,0.8,1.6,1.3,26.2,21.4,28.3,9.1,124.8,103.1
59,Alperen Sengun,Hou,*,C,22.7,75,31.6,26.2,14.7,428,0.692,1039,0.519,90,0.233,0.505,0.545,19.2,10.4,4.9,1.1,0.8,2.6,29.6,24.1,34.5,12.6,115.2,101.9
60,Domantas Sabonis,Sac,*,F-C,28.9,67,34.7,21.7,18.6,286,0.752,708,0.629,149,0.403,0.624,0.654,19.2,13.9,6.1,0.7,0.4,2.9,33.1,25.3,39.2,13.6,127.3,105.9
61,Desmond Bane,Mem,*,G,26.8,66,31.9,23.3,14.3,191,0.89,575,0.548,395,0.385,0.56,0.596,19,6.1,5.4,1.2,0.4,2.5,25.1,24.4,30.5,10.7,118,109.2
62,De'Andre Hunter,Atl,,F-G,27.3,37,28.7,24.2,10.7,176,0.858,245,0.531,247,0.393,0.56,0.616,19,3.9,1.5,0.8,0.1,1.6,22.9,20.5,24.4,6.7,117.2,112.7
